2025-05-06 13:41:22 - Spot 3 OCCUPIED - Coords: [[159, 428], [222, 428], [219, 489], [149, 496]] - Occupied: 1 - Available: 16
2025-05-06 13:41:22 - Spot 9 OCCUPIED - Coords: [[576, 460], [637, 446], [587, 392], [531, 396]] - Occupied: 2 - Available: 15
2025-05-06 13:41:24 - Spot 2 OCCUPIED - Coords: [[102, 431], [84, 495], [151, 495], [160, 430]] - Occupied: 1 - Available: 16
2025-05-06 13:41:24 - Spot 5 OCCUPIED - Coords: [[292, 487], [282, 420], [348, 417], [363, 482]] - Occupied: 3 - Available: 14
2025-05-06 13:41:25 - Spot 7 OCCUPIED - Coords: [[436, 474], [507, 465], [472, 404], [412, 410]] - Occupied: 4 - Available: 13
2025-05-06 13:41:25 - Spot 8 OCCUPIED - Coords: [[507, 466], [574, 457], [530, 398], [473, 405]] - Occupied: 5 - Available: 12
2025-05-06 13:41:28 - Spot 4 OCCUPIED - Coords: [[217, 491], [290, 488], [282, 422], [221, 426]] - Occupied: 3 - Available: 14
2025-05-06 13:41:28 - Spot 15 OCCUPIED - Coords: [[972, 371], [994, 368], [940, 335], [919, 342]] - Occupied: 10 - Available: 7
2025-05-06 13:41:28 - Spot 16 OCCUPIED - Coords: [[994, 366], [1012, 361], [961, 330], [940, 335]] - Occupied: 11 - Available: 6
2025-05-06 13:41:34 - Spot 11 OCCUPIED - Coords: [[689, 436], [741, 427], [687, 378], [641, 388]] - Occupied: 3 - Available: 14
2025-05-06 13:41:36 - Spot 7 OCCUPIED - Coords: [[436, 474], [507, 465], [472, 404], [412, 410]] - Occupied: 1 - Available: 16
2025-05-06 13:41:36 - Spot 8 OCCUPIED - Coords: [[507, 466], [574, 457], [530, 398], [473, 405]] - Occupied: 2 - Available: 15
2025-05-06 13:41:36 - Spot 9 OCCUPIED - Coords: [[576, 460], [637, 446], [587, 392], [531, 396]] - Occupied: 3 - Available: 14
2025-05-06 13:41:36 - Spot 10 OCCUPIED - Coords: [[637, 445], [690, 437], [641, 385], [588, 390]] - Occupied: 4 - Available: 13
2025-05-06 13:41:36 - Spot 15 OCCUPIED - Coords: [[972, 371], [994, 368], [940, 335], [919, 342]] - Occupied: 6 - Available: 11
2025-05-06 13:41:38 - Spot 3 OCCUPIED - Coords: [[159, 428], [222, 428], [219, 489], [149, 496]] - Occupied: 1 - Available: 16
2025-05-06 13:41:38 - Spot 5 OCCUPIED - Coords: [[292, 487], [282, 420], [348, 417], [363, 482]] - Occupied: 2 - Available: 15
2025-05-06 13:41:39 - Spot 1 OCCUPIED - Coords: [[47, 435], [102, 432], [84, 498], [24, 496]] - Occupied: 1 - Available: 16
2025-05-06 13:41:39 - Spot 2 OCCUPIED - Coords: [[102, 431], [84, 495], [151, 495], [160, 430]] - Occupied: 2 - Available: 15
2025-05-06 13:41:39 - Spot 16 OCCUPIED - Coords: [[994, 366], [1012, 361], [961, 330], [940, 335]] - Occupied: 10 - Available: 7
2025-05-06 13:41:42 - Spot 4 OCCUPIED - Coords: [[217, 491], [290, 488], [282, 422], [221, 426]] - Occupied: 4 - Available: 13
2025-05-06 13:41:42 - Spot 6 OCCUPIED - Coords: [[363, 482], [436, 473], [410, 412], [348, 417]] - Occupied: 6 - Available: 11
2025-05-06 13:41:43 - Spot 7 OCCUPIED - Coords: [[436, 474], [507, 465], [472, 404], [412, 410]] - Occupied: 7 - Available: 10
2025-05-06 13:41:49 - Spot 9 OCCUPIED - Coords: [[576, 460], [637, 446], [587, 392], [531, 396]] - Occupied: 1 - Available: 16
2025-05-06 13:41:49 - Spot 10 OCCUPIED - Coords: [[637, 445], [690, 437], [641, 385], [588, 390]] - Occupied: 2 - Available: 15
2025-05-06 13:41:49 - Spot 11 OCCUPIED - Coords: [[689, 436], [741, 427], [687, 378], [641, 388]] - Occupied: 3 - Available: 14
2025-05-06 13:41:49 - Spot 16 OCCUPIED - Coords: [[994, 366], [1012, 361], [961, 330], [940, 335]] - Occupied: 4 - Available: 13
2025-05-06 13:41:49 - Spot 17 OCCUPIED - Coords: [[1011, 360], [1031, 352], [979, 324], [962, 330]] - Occupied: 5 - Available: 12
2025-05-06 13:41:50 - Spot 4 OCCUPIED - Coords: [[217, 491], [290, 488], [282, 422], [221, 426]] - Occupied: 1 - Available: 16
2025-05-06 13:41:50 - Spot 6 OCCUPIED - Coords: [[363, 482], [436, 473], [410, 412], [348, 417]] - Occupied: 2 - Available: 15
2025-05-06 13:41:50 - Spot 7 OCCUPIED - Coords: [[436, 474], [507, 465], [472, 404], [412, 410]] - Occupied: 3 - Available: 14
2025-05-06 13:41:50 - Spot 8 OCCUPIED - Coords: [[507, 466], [574, 457], [530, 398], [473, 405]] - Occupied: 4 - Available: 13
